Désignation article;Désignation famille;Désignation sous famille;Article;Prix VENTE;Stock en UV;Code TVA
TERRAE VERITAS ROUGE 75CL     	VINS                          	GAILLAC                       	413	4.289999938011	0	2
ADAPTATEUR RINCAGE TETE CREUSE	MATERIELS                     	VENTE MATERIEL MOBILE         	415	76.7	0	2
DAMIENS PACH V BLANC SEC 75CL 	VINS                          	MADIRAN / PACHERENC VIC BILH  	418	6.733999919891	0	2
FROID SEC 1 TIRAGE 1/3CV 70L/H	MATERIELS                     	VENTE MATERIEL MOBILE         	423	1690	0	2
 LONGUEROCHE AURELIEN RGE 75CL	VINS                          	CORBIERES BLLE                	429	9.855000257492	1	2
GROUPE FC LINE CONV 70 -1/2CV 	MATERIELS                     	MATERIEL VENTE                	432	1471.35	0	2
LONGUEROCHE TRADITION RGE 75CL	VINS                          	CORBIERES BLLE                	434	6.3	76	2
LONGUEROCHE ROSE AOC 75CL     	VINS                          	CORBIERES BLLE                	435	4.86	-2	2
LONGUEROCHE C RAOUL RGE 75CL  	VINS                          	CORBIERES BLLE                	436	15.45749974251	5	2
LONGUEROCHE C RESERVEE RG 75CL	VINS PERMANENTS               	CORBIERES                     	437	8.5	51	2
BIB 10L FUT CHENE ROUGE       	VINS PERMANENTS               	CORBIERES                     	438	32.36999950409	21	2
BIB 10L TRADITION ROUGE 12°5  	VINS PERMANENTS               	CORBIERES                     	439	24.56999950409	6	2
BIB 5L FUT CHENE ROUGE        	VINS PERMANENTS               	CORBIERES                     	440	19.36999950409	13	2
BIB 5L TRADITION ROUGE 12°5   	VINS                          	CORBIERES BIB                 	441	14.16999950409	6	2
CHOUCHEN 75CL  HYDROMELLERIE  	VINS                          	HYDROMEL                      	478	5.8	0	2
SUZE 100CL                    	ALCOOL                        	GENTIANES                     	479	10.95	17	2
PASSOA 70CL                   	ALCOOL                        	LIQUEURS CREMES               	481	12.036	1	2
BIB 3L MUSCAT RIVESALTES      	VINS                          	MUSCAT                        	483	26.22100009918	5	2
MUSCAT VALAURIA 100CL         	VINS                          	MUSCAT                        	485	8.1	12	2
KARMELIET TRIPLE 30L          	BIERES                        	BIERE FUT 30L                 	510	3.85	30	2
RATZ AMBREE 30L               	BIERES                        	BIERE FUT 30L                 	522	2.85	480	2
RATZ BLONDE 30L               	BIERES                        	BIERE FUT 30L                 	523	2.78	1560	2
SAS PILS 30L                  	BIERES                        	BIERE FUT 30L                 	525	2.14	1560	2
HOMMELBIER 30L                	BIERES                        	BIERE FUT 30L                 	528	3.15	450	2
ST STEFANUS BLONDE 20L        	BIERES                        	BIERE FUT 20L                 	535	3.84	1400	2
RATZ BLANCHE 30L              	BIERES                        	BIERE FUT 30L                 	549	3.05	720	2
RATZ NOEL 30L                 	BIERES                        	BIERE FUT 30L                 	557	3.252540066242	0	2
LUPULUS TRIPLE BLONDE 20L     	BIERES                        	BIERE FUT 20L                 	558	4.1	1680	2
DUPONT MONKS STOUT 20L        	BIERES                        	BIERE FUT 20L                 	561	3.8	260	2
MOINETTE AMBREE 20L           	BIERES                        	BIERE FUT 20L                 	583	4.602236956358	20	2
DUPONT BLANCHE HAINAUT BIO 20L	BIERES                        	BIERE FUT 20L                 	590	4.134536132813	0	2
BOON FRAMBOISE 25VC           	BIERES                        	BIERE 25CL VC                 	603	1.909040021896	224	2
BOON KRIEK 25VC               	BIERES                        	BIERE 25CL VC                 	604	1.437099981308	293	2
BOON FARO 25VC                	BIERES                        	BIERE 25CL VC                 	605	1.357860016823	162	2
DUCHESSE BOURGOGNE 25VC       	BIERES                        	BIERE 25CL VC                 	610	1.570939993858	99	2
GRISETTE BLANCHE BIO 25VC     	BIERES                        	BIERE 25CL VC                 	611	1.186500036717	483	2
GRISETTE BLONDE BIO 25VC      	BIERES                        	BIERE 25CL VC                 	612	1.186500036717	507	2
HOMMELBIER 25VC               	BIERES                        	BIERE 25CL VC                 	614	0.9928800344467	288	2
LINDEMANS KRIEK 25VC          	BIERES                        	BIERE 25CL VC                 	622	1.228780043125	375	2
LINDEMANS GUEUZE 25VC         	BIERES                        	BIERE 25CL VC                 	625	1.027179968357	82	2
BLANCHE DE NAMUR 25VC         	BIERES                        	BIERE 25CL VC                 	627	0.9489199995995	216	2
AREND BLONDE 33VC             	BIERES                        	BIERE 33CL VC                 	642	1.630607964993	82	2
AREND TRIPLE 33VC             	BIERES                        	BIERE 33CL VC                 	644	1.834434063435	125	2
BARBAR BLONDE MECA 33VC       	BIERES                        	BIERE 33CL VC                 	647	1.540000033379	59	2
ST BERNARDUS BLANCHE 33VC     	BIERES                        	BIERE 33CL VC                 	658	1.078420042992	129	2
ST BERNARDUS TRIPLE 33VC      	BIERES                        	BIERE 33CL VC                 	659	1.379699969292	106	2
BRUGSE ZOT DOUBLE BRUNE 33VC  	BIERES                        	BIERE 33CL VC                 	663	1.546014075279	0	2
BRUGSE ZOT BLONDE 33VC        	BIERES                        	BIERE 33CL VC                 	664	1.502339959145	0	2
BUSH AMBREE CARACTERE 33VC    	BIERES                        	BIERE 33CL VC                 	665	1.699459958077	106	2
CAROLUS AMBRIO 33VC           	BIERES                        	BIERE 33CL VC                 	669	1.61846408844	54	2
CAROLUS CLASSIC 33VC          	BIERES                        	BIERE 33CL VC                 	670	1.59169208765	66	2
CAROLUS TRIPLE 33VC           	BIERES                        	BIERE 33CL VC                 	672	1.602580070496	75	2
CHIMAY TRIPLE 33VC            	BIERES                        	BIERE 33CL VC                 	673	1.579961950779	162	2
CHIMAY BLEU 33VC              	BIERES                        	BIERE 33CL VC                 	674	1.719480071068	67	2
DELIRIUM NOCTURNUM 33VC       	BIERES                        	BIERE 33CL VC                 	677	1.768469974995	0	2
DELIRIUM TREMENS 33VC         	BIERES                        	BIERE 33CL VC                 	679	1.768469974995	21	2
ST FEUILLIEN BLONDE 33VC      	BIERES                        	BIERE 33CL VC                 	681	1.558157951832	0	2
DE RANKE GULDENBERG 33VC      	BIERES                        	BIERE 33CL VC                 	699	1.64835999012	356	2
GULDEN DRAAK 33VC             	BIERES                        	BIERE 33CL VC                 	701	1.488330044746	10	2
HERCULE STOUT 33VC X12        	BIERES                        	BIERE 33CL VC                 	706	2.259599947929	73	2
KAPITTEL BLONDE 33VC          	BIERES                        	BIERE 33CL VC                 	710	1.220379984379	5	2
KARMELIET TRIPLE 33VC         	BIERES                        	BIERE 33CL VC                 	714	1.768340039253	117	2
MOINETTE BLONDE 33VC          	BIERES                        	BIERE 33CL VC                 	726	1.601039981842	260	2
MOINETTE AMBREE 33VC          	BIERES                        	BIERE 33CL VC                 	729	1.540908050537	208	2
ORVAL 33VC                    	BIERES                        	BIERE 33CL VC                 	732	1.684199929237	314	2
PATER LIEVEN BLONDE 33VC      	BIERES                        	BIERE 33CL VC                 	734	1.359679985046	127	2
PATER LIEVEN BRUNE 33VC       	BIERES                        	BIERE 33CL VC                 	735	1.371860003471	90	2
PATER LIEVEN TRIPLE 33VC      	BIERES                        	BIERE 33CL VC                 	736	1.7112200737	136	2
ROCHEFORT 10 33VC             	BIERES                        	BIERE 33CL VC                 	746	2.086146047115	192	2
ROCHEFORT 6 33VC              	BIERES                        	BIERE 33CL VC                 	747	1.373960018158	79	2
ROCHEFORT 8 33VC              	BIERES                        	BIERE 33CL VC                 	748	1.692319941521	163	2
QUINTINE AMBREE 33VC X12      	BIERES                        	BIERE 33CL VC                 	751	1.997964055538	119	2
SAISON DUPONT 33VC            	BIERES                        	BIERE 33CL VC                 	752	1.244039988518	53	2
QUINTINE BLONDE 33VC X12      	BIERES                        	BIERE 33CL VC                 	753	1.935500073433	142	2
ST BERNARDUS ABT 12 33VC      	BIERES                        	BIERE 33CL VC                 	756	1.594865956307	211	2
ST BERNARDUS PRIOR 8° 33VC    	BIERES                        	BIERE 33CL VC                 	757	1.430922060013	177	2
QUINTINE NOEL 33VC            	BIERES                        	BIERE NOEL/HIVER 25/33        	759	1.770408017635	4	2
ST FEUILLIEN GRAND CRU 33VC   	BIERES                        	BIERE 33CL VC                 	762	1.85010008812	117	2
STRAFFE HENDRIK TRIPLE 33VC   	BIERES                        	BIERE 33CL VC                 	764	1.887702019215	240	2
STRAFFE HENDRIK QUADRUPLE 33VC	BIERES                        	BIERE 33CL VC                 	765	2.063927979469	114	2
WESTMALLE DOUBLE 33VC         	BIERES                        	BIERE 33CL VC                 	782	1.349639979601	146	2
WESTMALLE TRIPLE 33VC         	BIERES                        	BIERE 33CL VC                 	783	1.67187006712	129	2
WITKAP TRIPLE 33VC            	BIERES                        	BIERE 33CL VC                 	785	1.664694027901	164	2
DE RANKE XX BITTER 33VC       	BIERES                        	BIERE 33CL VC                 	786	1.501499986649	204	2
LEFORT TRIPLE 33VC            	BIERES                        	BIERE 33CL VC                 	788	1.666560006142	151	2
DE RANK SAISON DOTTIGNIES 33VC	BIERES                        	BIERE 33CL VC                 	789	1.657880067825	136	2
DE RANKE NOIR DOTTIGNIES 33VC 	BIERES                        	BIERE 33CL VC                 	790	1.789760088921	141	2
DE RANKE SIMPLEX BLONDE 33VC  	BIERES                        	BIERE 33CL VC                 	792	1.484139943123	253	2
DE RANKE BACK TO BLACK 75VC   	BIERES                        	BIERE 75VC                    	797	7.311941285133	25	2
BREWDOG BLACK JACQUES 33VP    	BIERES                        	BIERE 20/25/33/35CL VP        	799	8.653	0	2
BREWDOG TOKYO 33VP            	BIERES                        	BIERE 20/25/33/35CL VP        	806	7.003	0	2
GUE MOINES SERIE NOIRE 33VP   	BIERES                        	BIERE 20/25/33/35CL VP        	812	1.88972992301	112	2
GUE MOINES LABELLE NEIPA 33VP 	BIERES                        	BIERE 20/25/33/35CL VP        	820	2.292653925419	32	2
RATZ AMBREE 33VP              	BIERES                        	BIERE 20/25/33/35CL VP        	866	1.43531999588	89	2
RATZ BLANCHE 33VP             	BIERES                        	BIERE 20/25/33/35CL VP        	867	1.43531999588	95	2
RATZ BLONDE 33VP              	BIERES                        	BIERE 20/25/33/35CL VP        	868	1.431479033232	145	2
RATZ NOEL 33VP                	BIERES                        	BIERE NOEL/HIVER 25/33        	870	1.462184947729	2	2
ST PATRICK RATZ 33VP          	BIERES                        	BIERE 20/25/33/35CL VP        	872	1.43531999588	0	2
GUE MOINES ROI DE COEUR 33VP  	BIERES                        	BIERE 20/25/33/35CL VP        	873	1.816707	128	2
GUE MOINES GAME OVER 33VP     	BIERES                        	BIERE 20/25/33/35CL VP        	874	1.854190063477	196	2
ST STEFANUS ABBAYE BLONDE 33VP	BIERES                        	BIERE 20/25/33/35CL VP        	875	2.16160004139	-12	2
GUE MOINES BLDE OCCITANIE 33VP	BIERES                        	BIERE 20/25/33/35CL VP        	877	1.673864990473	288	2
BACCHUS FRAMBOISE 37.5VC      	BIERES                        	BIERE 37.5CL                  	887	2.500540041924	57	2
MOINETTE BONS VOEUX 37,5VC    	BIERES                        	BIERE 37.5CL                  	888	2.286899971962	1182	2
BOON OUDE GUEUZE 37.5VC       	BIERES                        	BIERE 37.5CL                  	891	2.450699949265	71	2
GUE MOINES PREAMBULE 33VP     	BIERES                        	BIERE 20/25/33/35CL VP        	892	1.920375019312	82	2
OUD BEERSEL OUDE GUEUZE 37.5VP	BIERES                        	BIERE 37.5CL                  	895	4.07708407402	23	2
TIMMERMANS OUDE GUEUZE 37,5VC 	BIERES                        	BIERE 37.5CL                  	899	2.46945602417	0	2
SCHLENKERLA RAUCH. MAERZ. 50VC	BIERES                        	BIERE 50CL VC                 	936	1.83126003027	140	2
MJG COLLIOURE ROUGE 75CL      	VINS                          	COLLIOURE                     	937	6.84	0	2
DUO PRESTIGE BLANC 75CL       	VINS                          	COTES CATALANES               	947	7.2	2	2
AUTHENTIQUE DU MAS RGE 75CL   	VINS                          	COTES CATALANES               	949	5.67	3	2
BLANCHE DES HONNELLES 75VC    	BIERES                        	BIERE 75VC                    	951	3.022061891556	24	2
BLANCHE DE NAMUR 75VC         	BIERES                        	BIERE 75VC                    	952	2.570539975166	68	2
MOINETTE BONS VOEUX 75VC      	BIERES                        	BIERE 75VC                    	953	3.987760162354	660	2
AUTHENTIQUE DU MAS ROSE 75CL  	VINS                          	COTES CATALANES               	954	5.67	0	2
BOON OUDE GUEUZE 75VP         	BIERES                        	BIERE 75VP                    	955	4.79006985426	59	2
CANTILLON GUEUZE BIO 75VP     	BIERES                        	BIERE 75VP                    	962	7.687710142136	1	2
CANTILLON KRIEK BIO 75VP      	BIERES                        	BIERE 75VP                    	963	10.24946973324	-2	2
CAROLUS CUV IMPERIAL BLDE 75VP	BIERES                        	BIERE 75VP                    	966	5.810105309486	-6	2
CAROLUS C. IMPERIAL DARK 75VP 	BIERES                        	BIERE 75VP                    	967	5.938278150559	12	2
DUCHESSE DE BOURGOGNE 75VC    	BIERES                        	BIERE 75VC                    	975	4.620377926827	20	2
HANSSENS OUDE KRIEK 75VC      	BIERES                        	BIERE 75VC                    	977	6.265	1	2
HOMMELBIER 75VC               	BIERES                        	BIERE 75VC                    	978	2.659999966621	72	2
SEDUCTION RGE 75CL            	VINS                          	COTES CATALANES               	980	5.85	0	2
KAPITTEL BLONDE 75VC          	BIERES                        	BIERE 75VC                    	982	2.659999966621	36	2
KARMELIET TRIPLE 75VP   X6    	BIERES                        	BIERE 75VP                    	983	4.670160140991	2	2
KASTEEL CUV. CHATEAU 75VC     	BIERES                        	BIERE 75VC                    	985	3.289	12	2
SEDUCTION BLANC 75CL          	VINS                          	COTES CATALANES               	991	5.85	2	2
LINDEMANS KRIEK 75VP          	BIERES                        	BIERE 75VP                    	993	3.794447908402	5	2
MJG BRIU BLANC MUSCAT SEC 75CL	VINS                          	OC                            	995	3.6	131	2
LUPULUS TRIPLE BLONDE 75VC    	BIERES                        	BIERE 75VC                    	996	3.54606013298	154	2
LUPULUS BRUNE 75VC            	BIERES                        	BIERE 75VC                    	997	3.560060119629	53	2
MOINETTE BIO 75VC             	BIERES                        	BIERE 75VC                    	1000	3.965360116959	96	2
MOINETTE BLONDE 75VC          	BIERES                        	BIERE 75VC                    	1001	3.523380041122	71	2
MONTAGNARDE 75VC              	BIERES                        	BIERE 75VC                    	1002	3.173447842598	0	2
MOINETTE AMBREE 75VC          	BIERES                        	BIERE 75VC                    	1004	3.556699895859	124	2
MJG BRIU BANYULS AOC 75CL     	VINS                          	COTES DU ROUSSILLON           	1006	7.2	19	2
MJG BRIU TAUTAVEL 75CL        	VINS PERMANENTS               	COTES DU ROUSSILLON VILLAGE   	1010	5.49	0	2
SAISON DUPONT 75VC            	BIERES                        	BIERE 75VC                    	1011	2.886520004273	431	2
ST BERNARDUS TRIPLE 75VP      	BIERES                        	BIERE 75VP                    	1012	4.085100030899	28	2
BRUGSE ZOT BLONDE 75VP        	BIERES                        	BIERE 75VP                    	1028	4.001171951294	-3	2
CUVEE DES TROLLS TRIPLE 75VP  	BIERES                        	BIERE 75VP                    	1030	4.181625115871	36	2
PAIX DIEU TRIPLE 33VC X12     	BIERES                        	BIERE 33CL VC                 	1036	1.897559952736	170	2
PANNEAU MURAL PVC BLANC       	MATERIELS                     	VENTE MATERIEL MOBILE         	1041	123.6	0	2
FLEXIBLE HP 1,5 M AVEC CABLE  	MATERIELS                     	MATERIEL VENTE                	1042	103.37	0	2
RATZ AMBREE 75VP              	BIERES                        	BIERE 75VP                    	1050	2.958984146118	30	2
RATZ BLANCHE 75VP             	BIERES                        	BIERE 75VP                    	1051	2.958984146118	41	2
RATZ BLONDE 75VP              	BIERES                        	BIERE 75VP                    	1052	2.958984146118	120	2
ST BERNARDUS ABT 12 75VP      	BIERES                        	BIERE 75VP                    	1055	4.819769954681	18	2
ST FEUILLIEN GRAND CRU 75VP   	BIERES                        	BIERE 75VP                    	1056	4.415580153465	29	2
STRAFFE HENDRIK QUADRUPLE 75VP	BIERES                        	BIERE 75VP                    	1057	5.265470147133	61	2
STRAFFE HENDRIK TRIPLE 75VP   	BIERES                        	BIERE 75VP                    	1059	5.022095961571	11	2
MISTER B BAHIA GUAVA 20LK     	BIERES                        	BIERE FUT 20L                 	1062	4.09359998703	0	2
MOINETTE BONS VOEUX 150VP     	BIERES                        	BIERE 150 CL/200CL            	1064	16.68424472809	23	2
MISTER B BESTIA IPA 33BTE     	BIERES                        	BIERE 33/44/50 CL BTE         	1065	1.846665018797	144	2
CHIMAY PREMIERE BLEUE 150VP   	BIERES                        	BIERE 150 CL/200CL            	1067	12.84452996924	0	2
LUPULUS TRIPLE BLONDE 150VP   	BIERES                        	BIERE 150 CL/200CL            	1073	11.56820383072	5	2
MISTER B BAHIA GUAVA 33BTE    	BIERES                        	BIERE 33/44/50 CL BTE         	1079	1.847204947472	36	2
ADAPTATEUR RINCAGE U          	MATERIELS                     	VENTE MATERIEL MOBILE         	1080	90.12	0	2
ST FEUILLIEN TRIPLE 900VC     	BIERES                        	BIERE 900 CL                  	1084	69.50566585541	0	2
PRESSION 25CL A 3.50€         	BIERES                        	BIERE PRESSION COMPTOIR       	1086	1.95	-112	2
PRESSION 50CL A 6€            	BIERES                        	BIERE PRESSION COMPTOIR       	1087	3	-67	2
 PRESSION SPEC 25CL À 4.50    	BIERES                        	BIERE PRESSION COMPTOIR       	1094	2.5	-211	2
PRESSION SPEC 50CL À 8.50     	BIERES                        	BIERE PRESSION COMPTOIR       	1095	4.5	-248	2
TETE DE SOUTIRAGE U           	MATERIELS                     	VENTE MATERIEL MOBILE         	1097	153.66	0	2
COFFRET KASTEEL 4X33CL + 1V   	BIERES                        	BIERE COFFRET                 	1103	11.01763054848	0	2
DE RANKE PERE NOEL 33VC       	BIERES                        	BIERE NOEL/HIVER 25/33        	1121	1.73851993084	144	2
DE RANKE PERE NOEL 75VC       	BIERES                        	BIERE NOEL/HIVER 75           	1122	4.875359916687	24	2
ST BERNARDUS XMAS 33VC        	BIERES                        	BIERE NOEL/HIVER 25/33        	1123	1.702202041149	0	2
ST FEUILLIEN NOEL 33VC        	BIERES                        	BIERE NOEL/HIVER 25/33        	1124	1.186837983131	2	2
RHUM BACARDI CARTA BLANCA 70CL	ALCOOL                        	RHUMS TIERS                   	1132	8.75	0	2
